Fight_Number,Fighter,Fighter_Record,Weight_Class,Card_Position,UFC325_Opponent,Fight_Index,Year,Fight_Date,Opponent,Result,Method,Method_Detail,Round,Time,Event,Win_Rate,Most_Common_Method,Avg_Rounds,Current_Streak,Finish_Rate,Decision_Rate,Total_KO_TKO,Total_Submissions,Total_Decisions,Total_NC,Wins_by_KO_TKO,Wins_by_Submission,Wins_by_Decision,Losses_by_KO_TKO,Losses_by_Submission,Losses_by_Decision
2,Dan Hooker,24-12-0,Lightweight,Main Card,Benoit Saint Denis,1,2024,"Sep 14, 2024",Mateusz Gamrot,Win,Decision,Unanimous,3,5:00,UFC 305,60.0,Decision,2.2,3W (W-W-W-L-L),33.33333333333333,66.66666666666666,1,2,2,0,1,0,2,0,2,0
2,Dan Hooker,24-12-0,Lightweight,Main Card,Benoit Saint Denis,2,2024,"Apr 13, 2024",Jalin Turner,Win,Decision,Unanimous,3,5:00,UFC 300,60.0,Decision,2.2,3W (W-W-W-L-L),33.33333333333333,66.66666666666666,1,2,2,0,1,0,2,0,2,0
2,Dan Hooker,24-12-0,Lightweight,Main Card,Benoit Saint Denis,3,2023,"Dec 16, 2023",Claudio Puelles,Win,TKO,Punches,1,1:05,UFC Fight Night,60.0,Decision,2.2,3W (W-W-W-L-L),33.33333333333333,66.66666666666666,1,2,2,0,1,0,2,0,2,0
2,Dan Hooker,24-12-0,Lightweight,Main Card,Benoit Saint Denis,4,2023,"Jul 08, 2023",Mike Chandler,Loss,Submission,Rear Naked Choke,2,3:12,UFC 290,60.0,Decision,2.2,3W (W-W-W-L-L),33.33333333333333,66.66666666666666,1,2,2,0,1,0,2,0,2,0
2,Dan Hooker,24-12-0,Lightweight,Main Card,Benoit Saint Denis,5,2023,"Mar 04, 2023",Claudio Puelles,Loss,Submission,Kneebar,2,4:20,UFC 285,60.0,Decision,2.2,3W (W-W-W-L-L),33.33333333333333,66.66666666666666,1,2,2,0,1,0,2,0,2,0
2,Benoit Saint Denis,"13-2-0, 1NC",Lightweight,Main Card,Dan Hooker,1,2024,"Sep 28, 2024",Renato Moicano,Loss,TKO,Punches,1,2:28,UFC Fight Night,60.0,TKO,1.2,2L (L-L-W-W-W),100.0,0.0,5,0,0,0,3,0,0,2,0,0
2,Benoit Saint Denis,"13-2-0, 1NC",Lightweight,Main Card,Dan Hooker,2,2024,"Mar 09, 2024",Dustin Poirier,Loss,TKO,Punches,2,1:14,UFC 299,60.0,TKO,1.2,2L (L-L-W-W-W),100.0,0.0,5,0,0,0,3,0,0,2,0,0
2,Benoit Saint Denis,"13-2-0, 1NC",Lightweight,Main Card,Dan Hooker,3,2023,"Sep 02, 2023",Thiago Moises,Win,TKO,Punches,1,3:52,UFC Fight Night,60.0,TKO,1.2,2L (L-L-W-W-W),100.0,0.0,5,0,0,0,3,0,0,2,0,0
2,Benoit Saint Denis,"13-2-0, 1NC",Lightweight,Main Card,Dan Hooker,4,2023,"Apr 08, 2023",Ismael Bonfim,Win,TKO,Punches,1,0:51,UFC 287,60.0,TKO,1.2,2L (L-L-W-W-W),100.0,0.0,5,0,0,0,3,0,0,2,0,0
2,Benoit Saint Denis,"13-2-0, 1NC",Lightweight,Main Card,Dan Hooker,5,2022,"Oct 29, 2022",Gabriel Miranda,Win,TKO,Punches,1,0:39,UFC Fight Night,60.0,TKO,1.2,2L (L-L-W-W-W),100.0,0.0,5,0,0,0,3,0,0,2,0,0
3,Rafael Fiziev,13-3-0,Lightweight,Main Card,Mauricio Ruffy,1,2024,"Sep 28, 2024",Mateusz Gamrot,Win,Decision,Unanimous,3,5:00,UFC Fight Night,80.0,KO,2.8,1W (W-L-W-W-W),75.0,25.0,4,0,1,0,3,0,1,1,0,0
3,Rafael Fiziev,13-3-0,Lightweight,Main Card,Mauricio Ruffy,2,2023,"Oct 21, 2023",Justin Gaethje,Loss,TKO,Leg Kicks,2,4:36,UFC 291,80.0,KO,2.8,1W (W-L-W-W-W),75.0,25.0,4,0,1,0,3,0,1,1,0,0
3,Rafael Fiziev,13-3-0,Lightweight,Main Card,Mauricio Ruffy,3,2023,"Feb 18, 2023",Bobby Green,Win,KO,Punches,1,1:46,UFC Fight Night,80.0,KO,2.8,1W (W-L-W-W-W),75.0,25.0,4,0,1,0,3,0,1,1,0,0
3,Rafael Fiziev,13-3-0,Lightweight,Main Card,Mauricio Ruffy,4,2022,"Jun 25, 2022",Rafael dos Anjos,Win,KO,Punches,5,0:18,UFC Fight Night,80.0,KO,2.8,1W (W-L-W-W-W),75.0,25.0,4,0,1,0,3,0,1,1,0,0
3,Rafael Fiziev,13-3-0,Lightweight,Main Card,Mauricio Ruffy,5,2021,"Dec 04, 2021",Brad Riddell,Win,KO,Spinning Back Kick,3,1:21,UFC Vegas 44,80.0,KO,2.8,1W (W-L-W-W-W),75.0,25.0,4,0,1,0,3,0,1,1,0,0
3,Mauricio Ruffy,12-1-0,Lightweight,Main Card,Rafael Fiziev,1,2024,"Aug 03, 2024",Jamie Mullarkey,Win,TKO,Punches,1,2:49,UFC Fight Night,100.0,TKO,1.6,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
3,Mauricio Ruffy,12-1-0,Lightweight,Main Card,Rafael Fiziev,2,2024,"Mar 16, 2024",Grant Dawson,Win,KO,Punches,2,3:45,UFC Fight Night,100.0,TKO,1.6,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
3,Mauricio Ruffy,12-1-0,Lightweight,Main Card,Rafael Fiziev,3,2023,"Aug 12, 2023",Nicolas Dalby,Win,TKO,Punches,1,4:25,UFC Fight Night,100.0,TKO,1.6,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
3,Mauricio Ruffy,12-1-0,Lightweight,Main Card,Rafael Fiziev,4,2023,"Feb 25, 2023",Natan Levy,Win,TKO,Punches,1,2:33,UFC Fight Night,100.0,TKO,1.6,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
3,Mauricio Ruffy,12-1-0,Lightweight,Main Card,Rafael Fiziev,5,2022,"Oct 01, 2022",Gabe Green,Win,Decision,Unanimous,3,5:00,UFC Fight Night,100.0,TKO,1.6,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
4,Tai Tuivasa,15-8-0,Heavyweight,Main Card,Tallison Teixeira,1,2024,"Aug 03, 2024",Jairzinho Rozenstruik,Loss,KO,Punches,1,0:46,UFC Fight Night,0.0,N/A,2.0,5L (L-L-L-L-L),0.0,0.0,4,0,1,0,0,0,0,4,0,1
4,Tai Tuivasa,15-8-0,Heavyweight,Main Card,Tallison Teixeira,2,2024,"Feb 17, 2024",Marcin Tybura,Loss,Decision,Unanimous,3,5:00,UFC 298,0.0,N/A,2.0,5L (L-L-L-L-L),0.0,0.0,4,0,1,0,0,0,0,4,0,1
4,Tai Tuivasa,15-8-0,Heavyweight,Main Card,Tallison Teixeira,3,2023,"Sep 02, 2023",Alexander Volkov,Loss,TKO,Punches,1,4:10,UFC Fight Night,0.0,N/A,2.0,5L (L-L-L-L-L),0.0,0.0,4,0,1,0,0,0,0,4,0,1
4,Tai Tuivasa,15-8-0,Heavyweight,Main Card,Tallison Teixeira,4,2023,"Mar 04, 2023",Derrick Lewis,Loss,TKO,Punches,2,4:03,UFC 285,0.0,N/A,2.0,5L (L-L-L-L-L),0.0,0.0,4,0,1,0,0,0,0,4,0,1
4,Tai Tuivasa,15-8-0,Heavyweight,Main Card,Tallison Teixeira,5,2022,"Sep 03, 2022",Ciryl Gane,Loss,KO,Punches,3,2:44,UFC Fight Night,0.0,N/A,2.0,5L (L-L-L-L-L),0.0,0.0,4,0,1,0,0,0,0,4,0,1
4,Tallison Teixeira,9-1-0,Heavyweight,Main Card,Tai Tuivasa,1,2024,"Jul 13, 2024",Thomas Petersen,Win,TKO,Punches,1,2:12,UFC Fight Night,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
4,Tallison Teixeira,9-1-0,Heavyweight,Main Card,Tai Tuivasa,2,2024,"Feb 24, 2024",Waldo Cortes-Acosta,Win,TKO,Punches,2,3:45,UFC 298,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
4,Tallison Teixeira,9-1-0,Heavyweight,Main Card,Tai Tuivasa,3,2023,"Aug 26, 2023",Karl Williams,Win,KO,Punches,1,1:25,UFC Fight Night,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
4,Tallison Teixeira,9-1-0,Heavyweight,Main Card,Tai Tuivasa,4,2023,"May 13, 2023",Mick Parkin,Win,TKO,Punches,2,2:58,UFC Fight Night,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
4,Tallison Teixeira,9-1-0,Heavyweight,Main Card,Tai Tuivasa,5,2023,"Jan 14, 2023",Don'Tale Mayes,Win,Decision,Unanimous,3,5:00,UFC Fight Night,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
5,Quillan Salkilld,8-1-0,Lightweight,Main Card,Jamie Mullarkey,1,2024,"Aug 17, 2024",Damon Jackson,Win,Decision,Unanimous,3,5:00,UFC Fight Night,80.0,Decision,2.2,4W (W-W-W-W-L),50.0,50.0,2,1,2,0,2,0,2,0,1,0
5,Quillan Salkilld,8-1-0,Lightweight,Main Card,Jamie Mullarkey,2,2024,"May 04, 2024",Francisco Prado,Win,TKO,Punches,2,3:15,UFC Fight Night,80.0,Decision,2.2,4W (W-W-W-W-L),50.0,50.0,2,1,2,0,2,0,2,0,1,0
5,Quillan Salkilld,8-1-0,Lightweight,Main Card,Jamie Mullarkey,3,2023,"Nov 11, 2023",Josh Culibao,Win,Decision,Unanimous,3,5:00,UFC Fight Night,80.0,Decision,2.2,4W (W-W-W-W-L),50.0,50.0,2,1,2,0,2,0,2,0,1,0
5,Quillan Salkilld,8-1-0,Lightweight,Main Card,Jamie Mullarkey,4,2023,"Jun 17, 2023",Shayilan Nuerdanbieke,Win,TKO,Punches,1,2:45,UFC Fight Night,80.0,Decision,2.2,4W (W-W-W-W-L),50.0,50.0,2,1,2,0,2,0,2,0,1,0
5,Quillan Salkilld,8-1-0,Lightweight,Main Card,Jamie Mullarkey,5,2023,"Feb 04, 2023",Alex da Silva,Loss,Submission,Rear Naked Choke,2,3:45,Regional,80.0,Decision,2.2,4W (W-W-W-W-L),50.0,50.0,2,1,2,0,2,0,2,0,1,0
5,Jamie Mullarkey,18-7-0,Lightweight,Main Card,Quillan Salkilld,1,2024,"Aug 03, 2024",Mauricio Ruffy,Loss,TKO,Punches,1,2:49,UFC Fight Night,80.0,KO,1.4,1L (L-W-W-W-W),100.0,0.0,5,0,0,0,4,0,0,1,0,0
5,Jamie Mullarkey,18-7-0,Lightweight,Main Card,Quillan Salkilld,2,2024,"Feb 24, 2024",Francisco Prado,Win,KO,Punches,2,1:45,UFC 298,80.0,KO,1.4,1L (L-W-W-W-W),100.0,0.0,5,0,0,0,4,0,0,1,0,0
5,Jamie Mullarkey,18-7-0,Lightweight,Main Card,Quillan Salkilld,3,2023,"Aug 20, 2023",Michael Johnson,Win,TKO,Punches,1,0:52,UFC Fight Night,80.0,KO,1.4,1L (L-W-W-W-W),100.0,0.0,5,0,0,0,4,0,0,1,0,0
5,Jamie Mullarkey,18-7-0,Lightweight,Main Card,Quillan Salkilld,4,2023,"Feb 12, 2023",Jimmy Crute,Win,KO,Punches,1,3:47,UFC 284,80.0,KO,1.4,1L (L-W-W-W-W),100.0,0.0,5,0,0,0,4,0,0,1,0,0
5,Jamie Mullarkey,18-7-0,Lightweight,Main Card,Quillan Salkilld,5,2022,"Oct 22, 2022",Devonte Smith,Win,KO,Punches,2,0:20,UFC 280,80.0,KO,1.4,1L (L-W-W-W-W),100.0,0.0,5,0,0,0,4,0,0,1,0,0
6,Junior Tafa,6-3-0,Light Heavyweight,Preliminary Card,Billy Elekana,1,2024,"Jun 01, 2024",Waldo Cortes-Acosta,Loss,TKO,Punches,1,3:20,UFC Fight Night,40.0,KO,1.2,2L (L-L-W-W-L),100.0,0.0,5,0,0,0,2,0,0,3,0,0
6,Junior Tafa,6-3-0,Light Heavyweight,Preliminary Card,Billy Elekana,2,2024,"Feb 03, 2024",Mick Parkin,Loss,TKO,Punches,1,3:56,UFC Fight Night,40.0,KO,1.2,2L (L-L-W-W-L),100.0,0.0,5,0,0,0,2,0,0,3,0,0
6,Junior Tafa,6-3-0,Light Heavyweight,Preliminary Card,Billy Elekana,3,2023,"Jul 08, 2023",Parker Porter,Win,KO,Punches,1,2:35,UFC 290,40.0,KO,1.2,2L (L-L-W-W-L),100.0,0.0,5,0,0,0,2,0,0,3,0,0
6,Junior Tafa,6-3-0,Light Heavyweight,Preliminary Card,Billy Elekana,4,2023,"Feb 12, 2023",Justin Tafa,Win,TKO,Punches,1,1:56,UFC 284,40.0,KO,1.2,2L (L-L-W-W-L),100.0,0.0,5,0,0,0,2,0,0,3,0,0
6,Junior Tafa,6-3-0,Light Heavyweight,Preliminary Card,Billy Elekana,5,2022,"Jun 12, 2022",Jared Vanderaa,Loss,TKO,Punches,2,3:42,UFC 275,40.0,KO,1.2,2L (L-L-W-W-L),100.0,0.0,5,0,0,0,2,0,0,3,0,0
6,Billy Elekana,8-1-0,Light Heavyweight,Preliminary Card,Junior Tafa,1,2024,"Sep 21, 2024",Rizvan Kuniev,Win,TKO,Punches,2,3:15,UFC Fight Night,80.0,TKO,1.8,4W (W-W-W-W-L),100.0,0.0,3,1,1,0,3,1,0,0,0,1
6,Billy Elekana,8-1-0,Light Heavyweight,Preliminary Card,Junior Tafa,2,2024,"Jun 08, 2024",Alexandar Rakic,Win,KO,Punches,1,1:45,UFC Fight Night,80.0,TKO,1.8,4W (W-W-W-W-L),100.0,0.0,3,1,1,0,3,1,0,0,0,1
6,Billy Elekana,8-1-0,Light Heavyweight,Preliminary Card,Junior Tafa,3,2024,"Feb 03, 2024",Karl Roberson,Win,Submission,Rear Naked Choke,2,4:12,UFC Fight Night,80.0,TKO,1.8,4W (W-W-W-W-L),100.0,0.0,3,1,1,0,3,1,0,0,0,1
6,Billy Elekana,8-1-0,Light Heavyweight,Preliminary Card,Junior Tafa,4,2023,"Aug 05, 2023",Tyson Pedro,Win,TKO,Punches,1,2:30,UFC Fight Night,80.0,TKO,1.8,4W (W-W-W-W-L),100.0,0.0,3,1,1,0,3,1,0,0,0,1
6,Billy Elekana,8-1-0,Light Heavyweight,Preliminary Card,Junior Tafa,5,2023,"Mar 18, 2023",Alonzo Menifield,Loss,Decision,Split,3,5:00,UFC Fight Night,80.0,TKO,1.8,4W (W-W-W-W-L),100.0,0.0,3,1,1,0,3,1,0,0,0,1
7,Cameron Rowston,8-1-0,Middleweight,Preliminary Card,Cody Brundage,1,2024,"Aug 17, 2024",Charlie Radtke,Win,Decision,Unanimous,3,5:00,UFC Fight Night,80.0,Decision,2.6,4W (W-W-W-W-L),25.0,75.0,1,1,3,0,1,0,3,0,1,0
7,Cameron Rowston,8-1-0,Middleweight,Preliminary Card,Cody Brundage,2,2024,"Apr 20, 2024",Albert Duraev,Win,Decision,Split,3,5:00,UFC Fight Night,80.0,Decision,2.6,4W (W-W-W-W-L),25.0,75.0,1,1,3,0,1,0,3,0,1,0
7,Cameron Rowston,8-1-0,Middleweight,Preliminary Card,Cody Brundage,3,2023,"Oct 07, 2023",Tresean Gore,Win,TKO,Punches,2,3:45,UFC Fight Night,80.0,Decision,2.6,4W (W-W-W-W-L),25.0,75.0,1,1,3,0,1,0,3,0,1,0
7,Cameron Rowston,8-1-0,Middleweight,Preliminary Card,Cody Brundage,4,2023,"Jun 17, 2023",Zac Pauga,Win,Decision,Unanimous,3,5:00,UFC Fight Night,80.0,Decision,2.6,4W (W-W-W-W-L),25.0,75.0,1,1,3,0,1,0,3,0,1,0
7,Cameron Rowston,8-1-0,Middleweight,Preliminary Card,Cody Brundage,5,2023,"Feb 04, 2023",Julian Marquez,Loss,Submission,Rear Naked Choke,2,4:15,UFC Fight Night,80.0,Decision,2.6,4W (W-W-W-W-L),25.0,75.0,1,1,3,0,1,0,3,0,1,0
7,Cody Brundage,8-5-0,Middleweight,Preliminary Card,Cameron Rowston,1,2024,"Jun 15, 2024",Dusko Todorovic,Win,Decision,Unanimous,3,5:00,UFC Fight Night,40.0,Decision,2.0,1W (W-L-L-W-L),50.0,50.0,3,1,1,0,1,0,1,2,1,0
7,Cody Brundage,8-5-0,Middleweight,Preliminary Card,Cameron Rowston,2,2024,"Feb 03, 2024",Claudio Ribeiro,Loss,TKO,Punches,2,2:50,UFC Fight Night,40.0,Decision,2.0,1W (W-L-L-W-L),50.0,50.0,3,1,1,0,1,0,1,2,1,0
7,Cody Brundage,8-5-0,Middleweight,Preliminary Card,Cameron Rowston,3,2023,"Sep 16, 2023",Caio Borralho,Loss,Submission,Armbar,2,3:15,UFC Fight Night,40.0,Decision,2.0,1W (W-L-L-W-L),50.0,50.0,3,1,1,0,1,0,1,2,1,0
7,Cody Brundage,8-5-0,Middleweight,Preliminary Card,Cameron Rowston,4,2023,"May 06, 2023",Tresean Gore,Win,TKO,Punches,2,3:20,UFC 288,40.0,Decision,2.0,1W (W-L-L-W-L),50.0,50.0,3,1,1,0,1,0,1,2,1,0
7,Cody Brundage,8-5-0,Middleweight,Preliminary Card,Cameron Rowston,5,2022,"Dec 03, 2022",Michal Oleksiejczuk,Loss,TKO,Punches,1,0:42,UFC Fight Night,40.0,Decision,2.0,1W (W-L-L-W-L),50.0,50.0,3,1,1,0,1,0,1,2,1,0
8,Jacob Malkoun,10-4-0,Middleweight,Preliminary Card,Torrez Finney,1,2024,"Aug 03, 2024",Cody Brundage,Win,Decision,Unanimous,3,5:00,UFC Fight Night,40.0,Decision,2.0,1W (W-L-W-L-L),50.0,50.0,2,1,2,0,1,0,1,1,1,1
8,Jacob Malkoun,10-4-0,Middleweight,Preliminary Card,Torrez Finney,2,2024,"Feb 03, 2024",Roman Kopylov,Loss,TKO,Punches,2,4:35,UFC Fight Night,40.0,Decision,2.0,1W (W-L-W-L-L),50.0,50.0,2,1,2,0,1,0,1,1,1,1
8,Jacob Malkoun,10-4-0,Middleweight,Preliminary Card,Torrez Finney,3,2023,"Sep 02, 2023",Abdul Razak Alhassan,Win,KO,Punches,1,2:15,UFC Fight Night,40.0,Decision,2.0,1W (W-L-W-L-L),50.0,50.0,2,1,2,0,1,0,1,1,1,1
8,Jacob Malkoun,10-4-0,Middleweight,Preliminary Card,Torrez Finney,4,2023,"Feb 12, 2023",Brendan Allen,Loss,Submission,Rear Naked Choke,1,4:38,UFC 284,40.0,Decision,2.0,1W (W-L-W-L-L),50.0,50.0,2,1,2,0,1,0,1,1,1,1
8,Jacob Malkoun,10-4-0,Middleweight,Preliminary Card,Torrez Finney,5,2022,"Oct 01, 2022",Nick Maximov,Loss,Decision,Unanimous,3,5:00,UFC Fight Night,40.0,Decision,2.0,1W (W-L-W-L-L),50.0,50.0,2,1,2,0,1,0,1,1,1,1
8,Torrez Finney,7-0-0,Middleweight,Preliminary Card,Jacob Malkoun,1,2024,"Aug 31, 2024",Sedriques Dumas,Win,TKO,Punches,2,2:45,UFC Fight Night,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
8,Torrez Finney,7-0-0,Middleweight,Preliminary Card,Jacob Malkoun,2,2024,"Apr 27, 2024",Joe Pyfer,Win,KO,Punches,1,1:58,UFC Fight Night,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
8,Torrez Finney,7-0-0,Middleweight,Preliminary Card,Jacob Malkoun,3,2023,"Dec 09, 2023",Abdul Razak Alhassan,Win,TKO,Punches,1,2:30,UFC 296,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
8,Torrez Finney,7-0-0,Middleweight,Preliminary Card,Jacob Malkoun,4,2023,"Jun 24, 2023",Hamdy Abdelwahab,Win,Decision,Unanimous,3,5:00,UFC Fight Night,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
8,Torrez Finney,7-0-0,Middleweight,Preliminary Card,Jacob Malkoun,5,2023,"Feb 18, 2023",Chad Anheliger,Win,TKO,Punches,2,3:15,Contender Series,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,4,0,1,0,4,0,1,0,0,0
9,Jonathan Micallef,8-1-0,Welterweight,Preliminary Card,Oban Elliott,1,2024,"Aug 17, 2024",Jake Matthews,Win,TKO,Punches,2,3:30,UFC Fight Night,80.0,TKO,2.2,3W (W-W-W-L-W),50.0,50.0,2,1,2,0,2,0,2,0,1,0
9,Jonathan Micallef,8-1-0,Welterweight,Preliminary Card,Oban Elliott,2,2024,"Apr 20, 2024",Kevin Jousset,Win,Decision,Unanimous,3,5:00,UFC Fight Night,80.0,TKO,2.2,3W (W-W-W-L-W),50.0,50.0,2,1,2,0,2,0,2,0,1,0
9,Jonathan Micallef,8-1-0,Welterweight,Preliminary Card,Oban Elliott,3,2023,"Oct 21, 2023",Jeremiah Wells,Win,TKO,Punches,1,4:15,UFC Fight Night,80.0,TKO,2.2,3W (W-W-W-L-W),50.0,50.0,2,1,2,0,2,0,2,0,1,0
9,Jonathan Micallef,8-1-0,Welterweight,Preliminary Card,Oban Elliott,4,2023,"Jun 17, 2023",Jack Della Maddalena,Loss,Submission,Rear Naked Choke,2,3:45,UFC Fight Night,80.0,TKO,2.2,3W (W-W-W-L-W),50.0,50.0,2,1,2,0,2,0,2,0,1,0
9,Jonathan Micallef,8-1-0,Welterweight,Preliminary Card,Oban Elliott,5,2023,"Feb 12, 2023",Charlie Radtke,Win,Decision,Unanimous,3,5:00,UFC 284,80.0,TKO,2.2,3W (W-W-W-L-W),50.0,50.0,2,1,2,0,2,0,2,0,1,0
9,Oban Elliott,11-2-0,Welterweight,Preliminary Card,Jonathan Micallef,1,2024,"Jul 27, 2024",Preston Parsons,Win,Submission,Rear Naked Choke,2,3:45,UFC 304,80.0,Submission,2.2,4W (W-W-W-W-L),75.0,25.0,1,2,2,0,1,2,1,0,0,1
9,Oban Elliott,11-2-0,Welterweight,Preliminary Card,Jonathan Micallef,2,2024,"Mar 30, 2024",Rinat Fakhretdinov,Win,Decision,Split,3,5:00,UFC Fight Night,80.0,Submission,2.2,4W (W-W-W-W-L),75.0,25.0,1,2,2,0,1,2,1,0,0,1
9,Oban Elliott,11-2-0,Welterweight,Preliminary Card,Jonathan Micallef,3,2023,"Nov 11, 2023",AJ Fletcher,Win,TKO,Punches,2,4:15,UFC Fight Night,80.0,Submission,2.2,4W (W-W-W-W-L),75.0,25.0,1,2,2,0,1,2,1,0,0,1
9,Oban Elliott,11-2-0,Welterweight,Preliminary Card,Jonathan Micallef,4,2023,"Jun 03, 2023",Yaozong Hu,Win,Submission,Rear Naked Choke,1,2:30,UFC Fight Night,80.0,Submission,2.2,4W (W-W-W-W-L),75.0,25.0,1,2,2,0,1,2,1,0,0,1
9,Oban Elliott,11-2-0,Welterweight,Preliminary Card,Jonathan Micallef,5,2023,"Jan 21, 2023",Kevin Holland,Loss,Decision,Unanimous,3,5:00,UFC Fight Night,80.0,Submission,2.2,4W (W-W-W-W-L),75.0,25.0,1,2,2,0,1,2,1,0,0,1
10,Kaan Ofli,9-1-0,Featherweight,Early Prelims,Yi Zha,1,2024,"Sep 07, 2024",Topnoi Tiger Muay Thai,Win,Decision,Unanimous,3,5:00,Road to UFC,80.0,Decision,2.2,4W (W-W-W-W-L),50.0,50.0,2,1,2,0,2,0,2,0,1,0
10,Kaan Ofli,9-1-0,Featherweight,Early Prelims,Yi Zha,2,2024,"Jun 08, 2024",Taichi Nakajima,Win,TKO,Punches,2,3:15,Road to UFC,80.0,Decision,2.2,4W (W-W-W-W-L),50.0,50.0,2,1,2,0,2,0,2,0,1,0
10,Kaan Ofli,9-1-0,Featherweight,Early Prelims,Yi Zha,3,2024,"Feb 24, 2024",Batgerel Danaa,Win,KO,Punches,1,2:45,Road to UFC,80.0,Decision,2.2,4W (W-W-W-W-L),50.0,50.0,2,1,2,0,2,0,2,0,1,0
